productName,quantity,productDescription,materialType,weight,price
Grinder V,74,A high-quality grinder designed for durability and efficiency.,Composite,35.98,210.44
Screw W,74,A high-quality screw designed for durability and efficiency.,Composite,57.76,51.65
Bolt X,134,A high-quality bolt designed for durability and efficiency.,Ceramic,50.62,414.72
Nail Y,371,A high-quality nail designed for durability and efficiency.,Ceramic,53.48,78.7
Hammer Z,318,A high-quality hammer designed for durability and efficiency.,Wood,58.12,320.18
Wrench A,142,A high-quality wrench designed for durability and efficiency.,Glass,82.59,425.92
Drill B,354,A high-quality drill designed for durability and efficiency.,Composite,44.86,429.63
Saw C,483,A high-quality saw designed for durability and efficiency.,Glass,56.42,166.59
Pliers D,177,A high-quality pliers designed for durability and efficiency.,Plastic,1.23,22.6
Tape Measure E,455,A high-quality tape designed for durability and efficiency.,Metal,28.45,431.24
Screwdriver F,110,A high-quality screwdriver designed for durability and efficiency.,Composite,70.97,198.5
Nut G,267,A high-quality nut designed for durability and efficiency.,Composite,58.36,324.22
Washer H,213,A high-quality washer designed for durability and efficiency.,Glass,32.79,282.32
Chisel I,136,A high-quality chisel designed for durability and efficiency.,Composite,75.22,23.67
Clamp J,413,A high-quality clamp designed for durability and efficiency.,Fabric,7.07,126.74
Level K,455,A high-quality level designed for durability and efficiency.,Glass,53.53,245.12
Sandpaper L,255,A high-quality sandpaper designed for durability and efficiency.,Plastic,1.93,335.04
Wire Cutter M,352,A high-quality wire designed for durability and efficiency.,Glass,46.2,73.67
Socket N,489,A high-quality socket designed for durability and efficiency.,Wood,58.72,368.82
Drill Bit O,167,A high-quality drill designed for durability and efficiency.,Composite,69.84,76.59
Grinder P,156,A high-quality grinder designed for durability and efficiency.,Metal,65.74,34.83
Screw Q,203,A high-quality screw designed for durability and efficiency.,Fabric,82.25,269.69
Bolt R,309,A high-quality bolt designed for durability and efficiency.,Ceramic,7.59,352.16
Nail S,205,A high-quality nail designed for durability and efficiency.,Composite,36.25,161.71
Hammer T,2,A high-quality hammer designed for durability and efficiency.,Metal,53.44,365.33
Wrench U,241,A high-quality wrench designed for durability and efficiency.,Composite,6.38,321.28
Drill V,286,A high-quality drill designed for durability and efficiency.,Composite,26.01,175.84
Saw W,382,A high-quality saw designed for durability and efficiency.,Glass,4.57,394.99
Pliers X,169,A high-quality pliers designed for durability and efficiency.,Wood,40.35,1.89
Tape Measure Y,373,A high-quality tape designed for durability and efficiency.,Glass,52.19,70.13
Screwdriver Z,304,A high-quality screwdriver designed for durability and efficiency.,Ceramic,77.59,348.19
Nut A,19,A high-quality nut designed for durability and efficiency.,Glass,4.42,150.21
Washer B,356,A high-quality washer designed for durability and efficiency.,Fabric,92.59,342.98
Chisel C,264,A high-quality chisel designed for durability and efficiency.,Ceramic,83.52,488.59
Clamp D,30,A high-quality clamp designed for durability and efficiency.,Glass,47.01,120.57
Level E,185,A high-quality level designed for durability and efficiency.,Wood,77.25,485.74
Sandpaper F,391,A high-quality sandpaper designed for durability and efficiency.,Ceramic,41.56,6.89
Wire Cutter G,487,A high-quality wire designed for durability and efficiency.,Ceramic,80.81,60.17
Socket H,440,A high-quality socket designed for durability and efficiency.,Plastic,93.42,306.43
Drill Bit I,379,A high-quality drill designed for durability and efficiency.,Fabric,11.01,103.81
Grinder J,36,A high-quality grinder designed for durability and efficiency.,Wood,80.15,344.7
Screw K,97,A high-quality screw designed for durability and efficiency.,Ceramic,47.4,124.32
Bolt L,329,A high-quality bolt designed for durability and efficiency.,Wood,32.66,486.58
Nail M,455,A high-quality nail designed for durability and efficiency.,Glass,96.53,400.63
Hammer N,82,A high-quality hammer designed for durability and efficiency.,Composite,98.55,200.86
Wrench O,258,A high-quality wrench designed for durability and efficiency.,Glass,74.9,461.6
Drill P,234,A high-quality drill designed for durability and efficiency.,Metal,75.29,459.22
Saw Q,497,A high-quality saw designed for durability and efficiency.,Wood,59.41,392.92
Pliers R,429,A high-quality pliers designed for durability and efficiency.,Wood,24.1,457.86
Tape Measure S,82,A high-quality tape designed for durability and efficiency.,Fabric,56.04,116.7
Screwdriver T,353,A high-quality screwdriver designed for durability and efficiency.,Glass,85.48,240.47
Nut U,67,A high-quality nut designed for durability and efficiency.,Composite,30.69,328.77
Washer V,336,A high-quality washer designed for durability and efficiency.,Ceramic,15.4,300.09
Chisel W,337,A high-quality chisel designed for durability and efficiency.,Composite,77.41,211.23
Clamp X,397,A high-quality clamp designed for durability and efficiency.,Ceramic,78.01,146.04
Level Y,83,A high-quality level designed for durability and efficiency.,Glass,53.28,259.55
Sandpaper Z,332,A high-quality sandpaper designed for durability and efficiency.,Ceramic,67.37,458.07
Wire Cutter A,380,A high-quality wire designed for durability and efficiency.,Fabric,56.18,56.51
Socket B,16,A high-quality socket designed for durability and efficiency.,Fabric,53.15,490.05
Drill Bit C,113,A high-quality drill designed for durability and efficiency.,Fabric,13.32,90.45
Grinder D,10,A high-quality grinder designed for durability and efficiency.,Wood,81.75,190.16
Screw E,387,A high-quality screw designed for durability and efficiency.,Composite,60.07,56.27
Bolt F,436,A high-quality bolt designed for durability and efficiency.,Fabric,33.6,453.19
Nail G,288,A high-quality nail designed for durability and efficiency.,Metal,91.61,302.33
Hammer H,31,A high-quality hammer designed for durability and efficiency.,Metal,45.0,364.77
Wrench I,334,A high-quality wrench designed for durability and efficiency.,Glass,80.12,171.63
Drill J,279,A high-quality drill designed for durability and efficiency.,Plastic,11.73,382.22
Saw K,157,A high-quality saw designed for durability and efficiency.,Wood,61.62,376.73
Pliers L,197,A high-quality pliers designed for durability and efficiency.,Glass,53.86,451.96
Tape Measure M,249,A high-quality tape designed for durability and efficiency.,Metal,75.71,116.66
Screwdriver N,480,A high-quality screwdriver designed for durability and efficiency.,Plastic,62.19,292.24
Nut O,303,A high-quality nut designed for durability and efficiency.,Metal,92.86,288.51
Washer P,118,A high-quality washer designed for durability and efficiency.,Metal,2.1,456.03
Chisel Q,128,A high-quality chisel designed for durability and efficiency.,Composite,28.75,36.46
Clamp R,412,A high-quality clamp designed for durability and efficiency.,Ceramic,64.44,344.0
Level S,65,A high-quality level designed for durability and efficiency.,Glass,56.9,337.93
Sandpaper T,66,A high-quality sandpaper designed for durability and efficiency.,Plastic,26.58,321.06
Wire Cutter U,284,A high-quality wire designed for durability and efficiency.,Glass,89.55,160.16
Socket V,5,A high-quality socket designed for durability and efficiency.,Ceramic,44.16,296.05
Drill Bit W,159,A high-quality drill designed for durability and efficiency.,Plastic,20.74,351.41
Grinder X,395,A high-quality grinder designed for durability and efficiency.,Metal,63.9,489.42
Screw Y,110,A high-quality screw designed for durability and efficiency.,Composite,55.6,46.26
Bolt Z,272,A high-quality bolt designed for durability and efficiency.,Plastic,81.42,326.48
Nail A,279,A high-quality nail designed for durability and efficiency.,Metal,87.9,195.28
Hammer B,298,A high-quality hammer designed for durability and efficiency.,Wood,89.53,274.35
Wrench C,426,A high-quality wrench designed for durability and efficiency.,Composite,57.63,295.18
Drill D,328,A high-quality drill designed for durability and efficiency.,Fabric,56.0,171.88
Saw E,163,A high-quality saw designed for durability and efficiency.,Wood,11.11,309.22
Pliers F,315,A high-quality pliers designed for durability and efficiency.,Composite,27.89,145.19
Tape Measure G,416,A high-quality tape designed for durability and efficiency.,Ceramic,61.16,311.25
Screwdriver H,403,A high-quality screwdriver designed for durability and efficiency.,Fabric,28.15,310.06
Nut I,327,A high-quality nut designed for durability and efficiency.,Plastic,86.58,130.74
Washer J,247,A high-quality washer designed for durability and efficiency.,Wood,35.79,467.99
Chisel K,249,A high-quality chisel designed for durability and efficiency.,Composite,57.58,88.02
Clamp L,207,A high-quality clamp designed for durability and efficiency.,Composite,99.71,355.42
Level M,226,A high-quality level designed for durability and efficiency.,Fabric,30.61,83.78
Sandpaper N,310,A high-quality sandpaper designed for durability and efficiency.,Fabric,98.71,434.83
Wire Cutter O,43,A high-quality wire designed for durability and efficiency.,Composite,96.88,37.91
Socket P,260,A high-quality socket designed for durability and efficiency.,Glass,73.74,194.37
Drill Bit Q,474,A high-quality drill designed for durability and efficiency.,Glass,85.94,297.67
Grinder R,378,A high-quality grinder designed for durability and efficiency.,Glass,27.36,294.04
Screw S,52,A high-quality screw designed for durability and efficiency.,Composite,98.44,489.33
Bolt T,8,A high-quality bolt designed for durability and efficiency.,Glass,47.48,10.21
Nail U,154,A high-quality nail designed for durability and efficiency.,Plastic,45.19,325.95
Hammer V,313,A high-quality hammer designed for durability and efficiency.,Metal,95.69,294.05
Wrench W,76,A high-quality wrench designed for durability and efficiency.,Composite,78.82,472.97
Drill X,315,A high-quality drill designed for durability and efficiency.,Wood,84.28,264.93
Saw Y,280,A high-quality saw designed for durability and efficiency.,Glass,23.53,227.63
Pliers Z,4,A high-quality pliers designed for durability and efficiency.,Metal,59.52,118.32
Tape Measure A,431,A high-quality tape designed for durability and efficiency.,Composite,67.28,421.81
Screwdriver B,374,A high-quality screwdriver designed for durability and efficiency.,Plastic,89.13,300.05
Nut C,317,A high-quality nut designed for durability and efficiency.,Glass,28.84,346.35
Washer D,371,A high-quality washer designed for durability and efficiency.,Fabric,45.36,25.43
Chisel E,200,A high-quality chisel designed for durability and efficiency.,Composite,45.12,279.53
Clamp F,341,A high-quality clamp designed for durability and efficiency.,Metal,36.52,133.31
Level G,60,A high-quality level designed for durability and efficiency.,Glass,22.64,213.39
Sandpaper H,251,A high-quality sandpaper designed for durability and efficiency.,Plastic,12.06,134.07
Wire Cutter I,323,A high-quality wire designed for durability and efficiency.,Composite,45.26,198.97
Socket J,48,A high-quality socket designed for durability and efficiency.,Composite,70.84,114.89
Drill Bit K,386,A high-quality drill designed for durability and efficiency.,Wood,93.58,370.9
Grinder L,95,A high-quality grinder designed for durability and efficiency.,Metal,63.3,400.34
Screw M,217,A high-quality screw designed for durability and efficiency.,Plastic,22.11,276.79
Bolt N,480,A high-quality bolt designed for durability and efficiency.,Metal,25.48,265.6
Nail O,125,A high-quality nail designed for durability and efficiency.,Composite,14.56,460.16
Hammer P,484,A high-quality hammer designed for durability and efficiency.,Metal,74.09,137.68
Wrench Q,388,A high-quality wrench designed for durability and efficiency.,Metal,62.76,188.59
Drill R,430,A high-quality drill designed for durability and efficiency.,Wood,69.34,169.84
Saw S,393,A high-quality saw designed for durability and efficiency.,Wood,98.54,264.69
Pliers T,115,A high-quality pliers designed for durability and efficiency.,Plastic,10.03,180.17
Tape Measure U,337,A high-quality tape designed for durability and efficiency.,Ceramic,51.72,49.63
Screwdriver V,95,A high-quality screwdriver designed for durability and efficiency.,Wood,7.89,136.85
Nut W,443,A high-quality nut designed for durability and efficiency.,Metal,61.97,404.61
Washer X,165,A high-quality washer designed for durability and efficiency.,Ceramic,72.94,94.28
Chisel Y,318,A high-quality chisel designed for durability and efficiency.,Fabric,13.27,255.92
Clamp Z,377,A high-quality clamp designed for durability and efficiency.,Glass,47.75,79.99
Level A,454,A high-quality level designed for durability and efficiency.,Fabric,96.0,355.64
Sandpaper B,191,A high-quality sandpaper designed for durability and efficiency.,Plastic,97.57,54.57
Wire Cutter C,90,A high-quality wire designed for durability and efficiency.,Ceramic,29.51,34.78
Socket D,484,A high-quality socket designed for durability and efficiency.,Glass,32.51,440.34
Drill Bit E,15,A high-quality drill designed for durability and efficiency.,Composite,76.37,391.9
Grinder F,271,A high-quality grinder designed for durability and efficiency.,Wood,20.59,293.68
Screw G,344,A high-quality screw designed for durability and efficiency.,Plastic,26.39,124.93
Bolt H,476,A high-quality bolt designed for durability and efficiency.,Metal,73.33,432.66
Nail I,439,A high-quality nail designed for durability and efficiency.,Composite,9.01,113.13
Hammer J,74,A high-quality hammer designed for durability and efficiency.,Ceramic,95.3,302.39
Wrench K,69,A high-quality wrench designed for durability and efficiency.,Glass,18.52,451.63
Drill L,473,A high-quality drill designed for durability and efficiency.,Metal,7.9,242.05
Saw M,290,A high-quality saw designed for durability and efficiency.,Metal,32.48,33.89
Pliers N,172,A high-quality pliers designed for durability and efficiency.,Metal,79.74,383.32
Tape Measure O,350,A high-quality tape designed for durability and efficiency.,Fabric,98.51,99.12
Screwdriver P,118,A high-quality screwdriver designed for durability and efficiency.,Ceramic,14.62,299.1
Nut Q,319,A high-quality nut designed for durability and efficiency.,Composite,24.14,351.63
Washer R,249,A high-quality washer designed for durability and efficiency.,Wood,34.75,379.58
Chisel S,323,A high-quality chisel designed for durability and efficiency.,Ceramic,12.05,153.83
Clamp T,349,A high-quality clamp designed for durability and efficiency.,Fabric,30.71,2.76
Level U,204,A high-quality level designed for durability and efficiency.,Plastic,40.9,426.07
Sandpaper V,204,A high-quality sandpaper designed for durability and efficiency.,Ceramic,33.78,49.53
Wire Cutter W,161,A high-quality wire designed for durability and efficiency.,Ceramic,6.03,435.04
Socket X,223,A high-quality socket designed for durability and efficiency.,Fabric,93.16,421.46
Drill Bit Y,311,A high-quality drill designed for durability and efficiency.,Ceramic,3.58,97.06
Grinder Z,204,A high-quality grinder designed for durability and efficiency.,Wood,85.35,124.56
Screw A,421,A high-quality screw designed for durability and efficiency.,Plastic,47.88,491.85
Bolt B,17,A high-quality bolt designed for durability and efficiency.,Metal,78.31,140.48
Nail C,80,A high-quality nail designed for durability and efficiency.,Ceramic,22.65,412.17
Hammer D,327,A high-quality hammer designed for durability and efficiency.,Plastic,35.84,50.06
Wrench E,365,A high-quality wrench designed for durability and efficiency.,Ceramic,21.14,321.04
Drill F,492,A high-quality drill designed for durability and efficiency.,Wood,54.24,214.37
Saw G,297,A high-quality saw designed for durability and efficiency.,Ceramic,83.16,406.13
Pliers H,396,A high-quality pliers designed for durability and efficiency.,Ceramic,83.34,403.01
Tape Measure I,182,A high-quality tape designed for durability and efficiency.,Glass,7.12,112.09
Screwdriver J,263,A high-quality screwdriver designed for durability and efficiency.,Metal,14.3,379.29
Nut K,115,A high-quality nut designed for durability and efficiency.,Composite,75.4,126.07
Washer L,338,A high-quality washer designed for durability and efficiency.,Fabric,13.93,405.75
Chisel M,169,A high-quality chisel designed for durability and efficiency.,Glass,16.27,413.67
Clamp N,307,A high-quality clamp designed for durability and efficiency.,Ceramic,4.23,221.98
Level O,335,A high-quality level designed for durability and efficiency.,Fabric,70.42,347.18
Sandpaper P,386,A high-quality sandpaper designed for durability and efficiency.,Fabric,57.32,294.87
Wire Cutter Q,365,A high-quality wire designed for durability and efficiency.,Wood,58.74,384.15
Socket R,147,A high-quality socket designed for durability and efficiency.,Metal,9.14,71.9
Drill Bit S,118,A high-quality drill designed for durability and efficiency.,Ceramic,76.86,288.83
Grinder T,474,A high-quality grinder designed for durability and efficiency.,Wood,4.76,327.1
Screw U,274,A high-quality screw designed for durability and efficiency.,Glass,73.04,87.12
Bolt V,104,A high-quality bolt designed for durability and efficiency.,Composite,79.87,60.78
Nail W,390,A high-quality nail designed for durability and efficiency.,Fabric,79.56,6.35
Hammer X,332,A high-quality hammer designed for durability and efficiency.,Composite,15.72,217.84
Wrench Y,342,A high-quality wrench designed for durability and efficiency.,Metal,50.6,429.68
Drill Z,309,A high-quality drill designed for durability and efficiency.,Metal,18.5,162.94
Saw A,472,A high-quality saw designed for durability and efficiency.,Composite,13.82,306.34
Pliers B,63,A high-quality pliers designed for durability and efficiency.,Metal,64.47,433.0
Tape Measure C,308,A high-quality tape designed for durability and efficiency.,Metal,63.15,142.34
Screwdriver D,280,A high-quality screwdriver designed for durability and efficiency.,Plastic,80.29,490.06
Nut E,344,A high-quality nut designed for durability and efficiency.,Metal,94.86,360.43
Washer F,170,A high-quality washer designed for durability and efficiency.,Fabric,49.64,361.03
Chisel G,461,A high-quality chisel designed for durability and efficiency.,Glass,34.28,433.25
Clamp H,197,A high-quality clamp designed for durability and efficiency.,Plastic,28.04,134.33
Level I,421,A high-quality level designed for durability and efficiency.,Ceramic,74.43,316.95
Sandpaper J,70,A high-quality sandpaper designed for durability and efficiency.,Fabric,98.85,141.3
Wire Cutter K,69,A high-quality wire designed for durability and efficiency.,Composite,47.59,268.72
Socket L,53,A high-quality socket designed for durability and efficiency.,Ceramic,16.11,146.66
Drill Bit M,390,A high-quality drill designed for durability and efficiency.,Glass,82.01,204.02
Grinder N,92,A high-quality grinder designed for durability and efficiency.,Composite,8.98,245.41
Screw O,488,A high-quality screw designed for durability and efficiency.,Wood,39.11,220.31
Bolt P,174,A high-quality bolt designed for durability and efficiency.,Metal,30.57,140.47
Nail Q,300,A high-quality nail designed for durability and efficiency.,Metal,62.95,486.81
Hammer R,80,A high-quality hammer designed for durability and efficiency.,Wood,91.1,141.14
Wrench S,213,A high-quality wrench designed for durability and efficiency.,Composite,24.98,381.59
Drill T,102,A high-quality drill designed for durability and efficiency.,Plastic,16.46,232.94
Saw U,226,A high-quality saw designed for durability and efficiency.,Fabric,66.23,260.67
Pliers V,32,A high-quality pliers designed for durability and efficiency.,Glass,96.46,141.18
Tape Measure W,119,A high-quality tape designed for durability and efficiency.,Plastic,83.35,353.59
Screwdriver X,427,A high-quality screwdriver designed for durability and efficiency.,Fabric,4.97,245.79
Nut Y,330,A high-quality nut designed for durability and efficiency.,Fabric,47.82,105.15
Washer Z,375,A high-quality washer designed for durability and efficiency.,Composite,92.38,104.82
Chisel A,437,A high-quality chisel designed for durability and efficiency.,Fabric,25.04,480.37
Clamp B,381,A high-quality clamp designed for durability and efficiency.,Wood,59.63,468.54
Level C,331,A high-quality level designed for durability and efficiency.,Fabric,42.75,215.57
Sandpaper D,22,A high-quality sandpaper designed for durability and efficiency.,Composite,12.04,88.12
Wire Cutter E,283,A high-quality wire designed for durability and efficiency.,Plastic,0.15,354.1
Socket F,407,A high-quality socket designed for durability and efficiency.,Glass,71.16,166.67
Drill Bit G,132,A high-quality drill designed for durability and efficiency.,Glass,98.08,348.23
Grinder H,93,A high-quality grinder designed for durability and efficiency.,Wood,54.21,326.69
Screw I,244,A high-quality screw designed for durability and efficiency.,Fabric,66.75,28.54
Bolt J,21,A high-quality bolt designed for durability and efficiency.,Metal,1.2,115.8
Nail K,406,A high-quality nail designed for durability and efficiency.,Metal,13.43,387.14
Hammer L,368,A high-quality hammer designed for durability and efficiency.,Composite,25.14,62.96
Wrench M,475,A high-quality wrench designed for durability and efficiency.,Fabric,88.13,164.01
Drill N,230,A high-quality drill designed for durability and efficiency.,Composite,71.21,454.52
Saw O,371,A high-quality saw designed for durability and efficiency.,Fabric,5.86,330.33
Pliers P,491,A high-quality pliers designed for durability and efficiency.,Fabric,5.71,192.98
Tape Measure Q,165,A high-quality tape designed for durability and efficiency.,Metal,37.89,119.86
Screwdriver R,466,A high-quality screwdriver designed for durability and efficiency.,Plastic,21.13,293.57
Nut S,140,A high-quality nut designed for durability and efficiency.,Wood,18.11,78.61
Washer T,327,A high-quality washer designed for durability and efficiency.,Metal,22.74,304.39
Chisel U,95,A high-quality chisel designed for durability and efficiency.,Fabric,38.76,132.29
Clamp V,63,A high-quality clamp designed for durability and efficiency.,Fabric,82.2,498.06
Level W,262,A high-quality level designed for durability and efficiency.,Composite,64.79,193.31
Sandpaper X,356,A high-quality sandpaper designed for durability and efficiency.,Fabric,77.98,409.76
Wire Cutter Y,47,A high-quality wire designed for durability and efficiency.,Glass,73.62,492.89
Socket Z,128,A high-quality socket designed for durability and efficiency.,Wood,31.43,38.0
Drill Bit A,451,A high-quality drill designed for durability and efficiency.,Plastic,98.35,440.28
Grinder B,262,A high-quality grinder designed for durability and efficiency.,Ceramic,55.99,59.38
Screw C,40,A high-quality screw designed for durability and efficiency.,Metal,74.49,59.38
Bolt D,328,A high-quality bolt designed for durability and efficiency.,Wood,35.08,152.85
Nail E,8,A high-quality nail designed for durability and efficiency.,Ceramic,37.96,15.3
Hammer F,50,A high-quality hammer designed for durability and efficiency.,Glass,45.66,433.04
Wrench G,118,A high-quality wrench designed for durability and efficiency.,Ceramic,77.56,45.75
